gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3968710432	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898066	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		EC			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-2.57	-79.51											2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Ricardo Zambrano			2025-12-20T12:14:04.631Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968710431	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898055	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		EC			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-2.56	-79.52											2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Ricardo Zambrano			2025-12-20T12:14:12.992Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968710430	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898044	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		CR			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	10.1	-83.38							2017-04-12	12	4	2017	2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Wilbert Phillips-Mora			2025-12-20T12:14:06.780Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968709601	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898104	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		PE			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-8.41	-75.23							2017-09-06	6	9	2017	2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Xiomy Pinchi-Davila			2025-12-20T12:14:14.745Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968709600	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898096	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		CO			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	5.07	-75.69											2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Dylan M. Guevara-Ruiz			2025-12-20T12:14:00.150Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968709599	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898085	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		JM			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	18.14	-77.31							2016-12-06	6	12	2016	2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Elizabeth Johnson			2025-12-20T12:14:07.738Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968709598	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898074	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		PE			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-3.96	-73.43							2016-10-18	18	10	2016	2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Jorge R. Diaz-Valderrama			2025-12-20T12:14:17.955Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968709597	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898063	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		EC			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-2.56	-79.52											2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Ricardo Zambrano			2025-12-20T12:14:04.470Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968709596	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898052	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		EC			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-2.56	-79.51											2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Ricardo Zambrano			2025-12-20T12:14:13.437Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968709595	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898049	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		EC			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-2.55	-79.52							2016-10-03	3	10	2016	2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Jorge R. Diaz-Valderrama			2025-12-20T12:14:07.021Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
